seed,shift_name,severity_name,scenario_parameters,method_name,alpha,abstention_policy,abstention_threshold,class,metric_name,metric_value
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.1,,,Trouser,coverage,0.929
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,Ankle boot,average_set_size,0.798
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,Ankle boot,coverage,0.796
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,Bag,average_set_size,0.865
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,Bag,coverage,0.857
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,Coat,average_set_size,0.918
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,Coat,coverage,0.811
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,Dress,average_set_size,0.835
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,Dress,coverage,0.775
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,Pullover,average_set_size,0.908
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,Pullover,coverage,0.761
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,Sandal,average_set_size,0.849
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,Sandal,coverage,0.846
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,Shirt,average_set_size,0.914
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,Shirt,coverage,0.776
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,Sneaker,average_set_size,0.807
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,Sneaker,coverage,0.806
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,T-shirt/top,average_set_size,0.909
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,T-shirt/top,coverage,0.796
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,Trouser,average_set_size,0.883
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,Trouser,coverage,0.874
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Ankle boot,f1,0.9682854311199207
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Ankle boot,precision,0.9597249508840865
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Ankle boot,recall,0.977
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Bag,f1,0.9829659318637275
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Bag,precision,0.9849397590361446
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Bag,recall,0.981
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Coat,f1,0.8439024390243902
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Coat,precision,0.8238095238095238
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Coat,recall,0.865
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Dress,f1,0.907537688442211
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Dress,precision,0.9121212121212121
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Dress,recall,0.903
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Pullover,f1,0.8505747126436781
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Pullover,precision,0.8905908096280087
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Pullover,recall,0.814
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Sandal,f1,0.9825087456271864
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Sandal,precision,0.9820179820179821
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Sandal,recall,0.983
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Shirt,f1,0.7401101652478718
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Shirt,precision,0.7412236710130391
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Shirt,recall,0.739
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Sneaker,f1,0.9616935483870968
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Sneaker,precision,0.9695121951219512
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Sneaker,recall,0.954
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,T-shirt/top,f1,0.8610433934666016
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,T-shirt/top,precision,0.840152235965747
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,T-shirt/top,recall,0.883
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Trouser,f1,0.9854927463731866
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Trouser,precision,0.985985985985986
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,Trouser,recall,0.985
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,,,Ankle boot,average_set_size,1.032
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,,,Ankle boot,coverage,0.985
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,,,Bag,average_set_size,1.009
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,,,Bag,coverage,0.985
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,,,Coat,average_set_size,1.153
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,,,Coat,coverage,0.929
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,,,Dress,average_set_size,1.077
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,,,Dress,coverage,0.939
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,,,Pullover,average_set_size,1.167
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,,,Pullover,coverage,0.871
