seed,shift_name,severity_name,scenario_parameters,method_name,alpha,abstention_policy,abstention_threshold,bin_index,lower_bound,upper_bound,sample_count,average_confidence,empirical_accuracy
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",temperature_scaled,,,,4,0.4,0.5,283.0,0.4571688671204732,0.4558303886925795
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",temperature_scaled,,,,5,0.5,0.6,522.0,0.5505373137664065,0.553639846743295
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",temperature_scaled,,,,6,0.6,0.7,512.0,0.6497235635761172,0.708984375
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",temperature_scaled,,,,7,0.7,0.8,593.0,0.7535251510686054,0.7976391231028668
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",temperature_scaled,,,,8,0.8,0.9,818.0,0.8545616355093884,0.8899755501222494
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",temperature_scaled,,,,9,0.9,1.0,7165.0,0.987419933667153,0.9877180739706909
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",raw_softmax,,,,0,0.0,0.1,0.0,,
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",raw_softmax,,,,1,0.1,0.2,0.0,,
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",raw_softmax,,,,2,0.2,0.3,8.0,0.27355364710092545,0.5
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",raw_softmax,,,,3,0.3,0.4,92.0,0.3636390262323877,0.2717391304347826
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",raw_softmax,,,,4,0.4,0.5,289.0,0.4596645765032323,0.4671280276816609
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",raw_softmax,,,,5,0.5,0.6,502.0,0.5486923906195211,0.5418326693227091
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",raw_softmax,,,,6,0.6,0.7,470.0,0.6474332753648149,0.6212765957446809
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",raw_softmax,,,,7,0.7,0.8,531.0,0.7518239801437392,0.696798493408663
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",raw_softmax,,,,8,0.8,0.9,739.0,0.854153516570028,0.8240866035182679
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",raw_softmax,,,,9,0.9,1.0,7369.0,0.989569029558593,0.9781517166508346
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",temperature_scaled,,,,0,0.0,0.1,0.0,,
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",temperature_scaled,,,,1,0.1,0.2,0.0,,
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",temperature_scaled,,,,2,0.2,0.3,23.0,0.27012062331904535,0.34782608695652173
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",temperature_scaled,,,,3,0.3,0.4,168.0,0.3597949759236404,0.3333333333333333
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",temperature_scaled,,,,4,0.4,0.5,411.0,0.45598428020222054,0.5279805352798054
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",temperature_scaled,,,,5,0.5,0.6,611.0,0.5485111894467068,0.5990180032733224
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",temperature_scaled,,,,6,0.6,0.7,565.0,0.6518154354222053,0.6654867256637168
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",temperature_scaled,,,,7,0.7,0.8,642.0,0.7513142500153954,0.7881619937694704
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",temperature_scaled,,,,8,0.8,0.9,856.0,0.8527413175624108,0.8843457943925234
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",temperature_scaled,,,,9,0.9,1.0,6724.0,0.98691836029628,0.985871505056514
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",raw_softmax,,,,0,0.0,0.1,0.0,,
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",raw_softmax,,,,1,0.1,0.2,0.0,,
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",raw_softmax,,,,2,0.2,0.3,1.0,0.29511064291000366,0.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",raw_softmax,,,,3,0.3,0.4,26.0,0.3675752534316136,0.19230769230769232
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",raw_softmax,,,,4,0.4,0.5,79.0,0.45539754515961756,0.4177215189873418
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",raw_softmax,,,,5,0.5,0.6,215.0,0.5489084202189778,0.46511627906976744
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",raw_softmax,,,,6,0.6,0.7,242.0,0.6512712641688417,0.6198347107438017
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",raw_softmax,,,,7,0.7,0.8,259.0,0.749712484223502,0.7027027027027027
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",raw_softmax,,,,8,0.8,0.9,391.0,0.8538061070930013,0.8005115089514067
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",raw_softmax,,,,9,0.9,1.0,5787.0,0.99206884075822,0.9839294971487818
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",temperature_scaled,,,,0,0.0,0.1,0.0,,
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",temperature_scaled,,,,1,0.1,0.2,0.0,,
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",temperature_scaled,,,,2,0.2,0.3,4.0,0.2842646613717079,0.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",temperature_scaled,,,,3,0.3,0.4,55.0,0.36630279801108623,0.2727272727272727
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",temperature_scaled,,,,4,0.4,0.5,129.0,0.46496648913206057,0.4728682170542636
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",temperature_scaled,,,,5,0.5,0.6,268.0,0.5519650585171002,0.4925373134328358
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",temperature_scaled,,,,6,0.6,0.7,293.0,0.6497999191691037,0.7030716723549488
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",temperature_scaled,,,,7,0.7,0.8,342.0,0.7540064569105182,0.7631578947368421
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",temperature_scaled,,,,8,0.8,0.9,470.0,0.8539119999459449,0.8936170212765957
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",temperature_scaled,,,,9,0.9,1.0,5439.0,0.9901529488306664,0.9895201323772752
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",raw_softmax,,,,0,0.0,0.1,0.0,,
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",raw_softmax,,,,1,0.1,0.2,0.0,,
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",raw_softmax,,,,2,0.2,0.3,1.0,0.25718989968299866,0.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",raw_softmax,,,,3,0.3,0.4,15.0,0.3668155531088511,0.13333333333333333
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",raw_softmax,,,,4,0.4,0.5,45.0,0.45373532043563,0.37777777777777777
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",raw_softmax,,,,5,0.5,0.6,128.0,0.547449438367039,0.4765625
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",raw_softmax,,,,6,0.6,0.7,131.0,0.6520278758675088,0.648854961832061
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",raw_softmax,,,,7,0.7,0.8,155.0,0.7499800862804535,0.7161290322580646
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",raw_softmax,,,,8,0.8,0.9,235.0,0.8537138091756943,0.825531914893617
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",raw_softmax,,,,9,0.9,1.0,4490.0,0.9935141253975823,0.9875278396436525
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",temperature_scaled,,,,0,0.0,0.1,0.0,,
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",temperature_scaled,,,,1,0.1,0.2,0.0,,
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",temperature_scaled,,,,2,0.2,0.3,3.0,0.2663377771774928,0.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",temperature_scaled,,,,3,0.3,0.4,33.0,0.36606265559340967,0.21212121212121213
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",temperature_scaled,,,,4,0.4,0.5,75.0,0.46216469009717304,0.4266666666666667
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",temperature_scaled,,,,5,0.5,0.6,152.0,0.5513345414870664,0.5460526315789473
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",temperature_scaled,,,,6,0.6,0.7,163.0,0.6486481855983383,0.7177914110429447
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",temperature_scaled,,,,7,0.7,0.8,210.0,0.7524442783423833,0.7952380952380952
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",temperature_scaled,,,,8,0.8,0.9,298.0,0.8548023316684186,0.8959731543624161
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",temperature_scaled,,,,9,0.9,1.0,4266.0,0.9921705332989431,0.9917955930614158
17,clean,clean,{},raw_softmax,,,,0,0.0,0.1,0.0,,
