seed,shift_name,severity_name,scenario_parameters,method_name,alpha,abstention_policy,abstention_threshold,coverage,selective_risk,number_accepted,number_abstained
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",standard_conformal,0.1,hybrid,0.8,0.7983,0.022297381936615346,7983.0,2017.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",standard_conformal,0.1,hybrid,0.9,0.7165,0.01228192602930911,7165.0,2835.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",standard_conformal,0.1,hybrid,0.95,0.6478,0.007409694350108076,6478.0,3522.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",standard_conformal,0.1,singleton_conformal,,0.948,0.064873417721519,9480.0,520.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",standard_conformal,0.2,hybrid,0.5,0.792,0.021843434343434387,7920.0,2080.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",standard_conformal,0.2,hybrid,0.6,0.792,0.021843434343434387,7920.0,2080.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",standard_conformal,0.2,hybrid,0.7,0.792,0.021843434343434387,7920.0,2080.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",standard_conformal,0.2,hybrid,0.8,0.792,0.021843434343434387,7920.0,2080.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",standard_conformal,0.2,hybrid,0.9,0.7165,0.01228192602930911,7165.0,2835.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",standard_conformal,0.2,hybrid,0.95,0.6478,0.007409694350108076,6478.0,3522.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",standard_conformal,0.2,singleton_conformal,,0.792,0.021843434343434387,7920.0,2080.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",temperature_scaled,,confidence_threshold,0.5,0.961,0.07075962539021852,9610.0,390.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",temperature_scaled,,confidence_threshold,0.6,0.9088,0.049185739436619746,9088.0,912.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",temperature_scaled,,confidence_threshold,0.7,0.8576,0.034748134328358216,8576.0,1424.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",temperature_scaled,,confidence_threshold,0.8,0.7983,0.022297381936615346,7983.0,2017.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",temperature_scaled,,confidence_threshold,0.9,0.7165,0.01228192602930911,7165.0,2835.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",temperature_scaled,,confidence_threshold,0.95,0.6478,0.007409694350108076,6478.0,3522.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",standard_conformal,0.05,hybrid,0.5,0.8682,0.054134991937341614,8682.0,1318.0
17,brightness_contrast,strong_brightness,"{""brightness"":0.6,""contrast"":1.0}",standard_conformal,0.05,hybrid,0.6,0.8517,0.0490783139603147,8517.0,1483.0
