seed,shift_name,severity_name,scenario_parameters,method_name,alpha,abstention_policy,abstention_threshold,metric_name,metric_value
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_1_pred_9,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_2_pred_0,20.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_2_pred_1,2.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_2_pred_2,814.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_2_pred_3,10.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_2_pred_4,77.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_2_pred_5,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_2_pred_6,77.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_2_pred_7,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_2_pred_8,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_2_pred_9,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_3_pred_0,21.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_3_pred_1,8.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_3_pred_2,6.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_3_pred_3,903.0
