shift_name,severity_name,method_name,alpha,abstention_policy,abstention_threshold,metric_name,seed_count,expected_seed_count,complete_group,mean,std,ci_lower,ci_upper
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.5,abstention_rate,3,3,True,0.0974,0.0046808118953873875,0.08577221864905865,0.10902778135094135
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.5,acceptance_rate,3,3,True,0.9026,0.004680811895387374,0.8909722186490586,0.9142277813509413
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.5,number_abstained,3,3,True,974.0,46.8081189538738,857.7221864905866,1090.2778135094134
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.5,number_accepted,3,3,True,9026.0,46.8081189538738,8909.722186490586,9142.277813509414
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.5,selective_accuracy,3,3,True,0.9494033269995487,0.0011212823537658967,0.9466179072190386,0.9521887467800587
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.5,selective_risk,3,3,True,0.050596673000451266,0.0011212823537658967,0.04781125321994123,0.0533820927809613
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.6,abstention_rate,3,3,True,0.10693333333333332,0.0038552993831002733,0.09735623874568615,0.1165104279209805
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.6,acceptance_rate,3,3,True,0.8930666666666666,0.0038552993831002668,0.8834895720790195,0.9026437612543137
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.6,number_abstained,3,3,True,1069.3333333333333,38.552993831002716,973.5623874568615,1165.1042792098049
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.6,number_accepted,3,3,True,8930.666666666666,38.552993831002716,8834.895720790195,9026.437612543137
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.6,selective_accuracy,3,3,True,0.9537534913732575,0.000511028394669241,0.9524840264662844,0.9550229562802306
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.6,selective_risk,3,3,True,0.046246508626742434,0.000511028394669241,0.04497704371976934,0.047515973533715526
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.7,abstention_rate,3,3,True,0.12546666666666664,0.004570922591045847,0.11411186548075812,0.13682146785257515
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.7,acceptance_rate,3,3,True,0.8745333333333334,0.004570922591045861,0.8631785321474248,0.885888134519242
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.7,number_abstained,3,3,True,1254.6666666666667,45.70922591045853,1141.1186548075814,1368.214678525752
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.7,number_accepted,3,3,True,8745.333333333334,45.70922591045853,8631.785321474248,8858.88134519242
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.7,selective_accuracy,3,3,True,0.9604362351244123,0.0005373613611484608,0.959101355502346,0.9617711147464787
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.7,selective_risk,3,3,True,0.03956376487558766,0.0005373613611484608,0.03822888525352128,0.04089864449765404
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.8,abstention_rate,3,3,True,0.17526666666666668,0.0048603840726153865,0.16319280329829214,0.18734053003504123
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.8,acceptance_rate,3,3,True,0.8247333333333334,0.0048603840726154195,0.8126594699649589,0.836807196701708
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.8,number_abstained,3,3,True,1752.6666666666667,48.60384072615386,1631.9280329829214,1873.405300350412
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.8,number_accepted,3,3,True,8247.333333333334,48.60384072615386,8126.594699649589,8368.07196701708
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.8,selective_accuracy,3,3,True,0.9727167646598168,0.0008100768278660875,0.9707044222622996,0.9747291070573341
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.8,selective_risk,3,3,True,0.027283235340183138,0.0008100768278660875,0.02527089294266591,0.029295577737700366
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.9,abstention_rate,3,3,True,0.24563333333333334,0.007259017380701984,0.22760093450768043,0.26366573215898625
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.9,acceptance_rate,3,3,True,0.7543666666666665,0.00725901738070196,0.7363342678410136,0.7723990654923194
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.9,number_abstained,3,3,True,2456.3333333333335,72.59017380701974,2276.0093450768045,2636.6573215898625
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.9,number_accepted,3,3,True,7543.666666666667,72.59017380701974,7363.342678410138,7723.9906549231955
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.9,selective_accuracy,3,3,True,0.983736616428192,0.0009061195256717965,0.9814856907431173,0.9859875421132667
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.9,selective_risk,3,3,True,0.016263383571808048,0.0009061195256717965,0.014012457886733417,0.018514309256882678
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.95,abstention_rate,3,3,True,0.30549999999999994,0.012899224782908475,0.2734565492644325,0.33754345073556735
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.95,acceptance_rate,3,3,True,0.6945,0.012899224782908433,0.6624565492644328,0.7265434507355673
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.95,number_abstained,3,3,True,3055.0,128.99224782908468,2734.5654926443262,3375.4345073556738
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.95,number_accepted,3,3,True,6945.0,128.99224782908468,6624.565492644326,7265.434507355674
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.95,selective_accuracy,3,3,True,0.9901612317584115,4.2638166264883074e-05,0.990055312681633,0.99026715083519
brightness_contrast,increased_contrast,standard_conformal,0.05,hybrid,0.95,selective_risk,3,3,True,0.009838768241588433,4.2638166264883074e-05,0.009732849164809956,0.00994468731836691
brightness_contrast,increased_contrast,standard_conformal,0.05,singleton_conformal,,abstention_rate,3,3,True,0.09003333333333334,0.005542863279328952,0.07626409763007619,0.10380256903659049
brightness_contrast,increased_contrast,standard_conformal,0.05,singleton_conformal,,acceptance_rate,3,3,True,0.9099666666666667,0.005542863279328962,0.8961974309634095,0.9237359023699239
brightness_contrast,increased_contrast,standard_conformal,0.05,singleton_conformal,,number_abstained,3,3,True,900.3333333333334,55.428632793289545,762.6409763007618,1038.025690365905
brightness_contrast,increased_contrast,standard_conformal,0.05,singleton_conformal,,number_accepted,3,3,True,9099.666666666666,55.428632793289545,8961.974309634095,9237.359023699237
brightness_contrast,increased_contrast,standard_conformal,0.05,singleton_conformal,,selective_accuracy,3,3,True,0.9450904799696908,0.0009398501680880606,0.9427557627237483,0.9474251972156332
brightness_contrast,increased_contrast,standard_conformal,0.05,singleton_conformal,,selective_risk,3,3,True,0.054909520030309245,0.0009398501680880606,0.052574802784366804,0.057244237276251685
brightness_contrast,increased_contrast,standard_conformal,0.05,,,average_set_size,3,3,True,1.0902666666666667,0.005946707772653048,1.0754942256278606,1.1050391077054729
brightness_contrast,increased_contrast,standard_conformal,0.05,,,coverage_gap,3,3,True,-0.006733333333333295,0.0004509249752822972,-0.007853493069602134,-0.005613173597064455
brightness_contrast,increased_contrast,standard_conformal,0.05,,,empirical_coverage,3,3,True,0.9432666666666666,0.0004509249752822972,0.9421465069303977,0.9443868264029355
